Coding_Scheme,Code_Value,Full_Name,Shortcode,Viewport,Unit,UCUM_Unit,CID_Source
LN,104152-4,Left ventricular Ejection fraction by US.3D.A2C+Calculated by biplane method,104152-4,,%,%,LOINC_db
LN,104153-2,Left ventricular Ejection fraction by US.3D.A3C+Calculated by biplane method,104153-2,,%,%,LOINC_db
LN,104154-0,Left ventricular Ejection fraction by US.3D.A4C+Calculated by biplane method,104154-0,,%,%,LOINC_db
LN,104155-7,Left ventricular Ejection fraction - upper limit by US.3D.A2C+Estimated,104155-7,,%,%,LOINC_db
LN,104157-3,Left ventricular Ejection fraction - upper limit by US.2D.A4C+Estimated,104157-3,,%,%,LOINC_db
LN,104159-9,Left ventricular Maximum longitudinal strain by US.2D+Calculated by average triplane method,104159-9,,%,%,LOINC_db
LN,104160-7,Left ventricular End-systolic volume (by US.2D.A2C+Calculated by biplane area-length method)/Body surface area,104160-7,,mL/m2,mL/m2,LOINC_db
LN,104161-5,Left ventricular End-systolic volume/Body surface area [Volume/Area] by US.2D.A4C+Calculated by biplane area-length method,104161-5,,mL/m2,mL/m2,LOINC_db
LN,104162-3,Left ventricular End-systolic volume/Body surface area [Volume/Area] by US.3D.A2C+Calculated by biplane area-length method,104162-3,,mL/m2,mL/m2,LOINC_db
LN,104163-1,Left ventricular End-systolic volume/Body surface area [Volume/Area] by US.3D.A4C+Calculated by biplane area-length method,104163-1,,mL/m2,mL/m2,LOINC_db
LN,104164-9,Pulmonary artery Pressure by US.doppler,104164-9,,mm[Hg],,LOINC_db
LN,104165-6,Aortic valve Orifice area/Body surface area [Area/Area] by US 2D,104165-6,,cm2/m2,,LOINC_db
LN,104210-0,Diagnostic multisection transesophageal and cardioversion panel Heart,104210-0,,nan,,LOINC_db
LN,104211-8,Heart Multisection transesophageal for congenital disease Document by US --W agitated saline IV,104211-8,,nan,,LOINC_db
LN,104243-1,Left ventricular Ejection fraction - lower limit by US.2D.A3C+Estimated,104243-1,,%,%,LOINC_db
LN,104244-9,Left ventricular Ejection fraction - lower limit by US.2D.A4C+Estimated,104244-9,,%,%,LOINC_db
LN,104245-6,Left ventricular Ejection fraction - lower limit by US.3D.A2C+Estimated,104245-6,,%,%,LOINC_db
LN,104246-4,Left ventricular Ejection fraction - lower limit by US.3D.A3C+Estimated,104246-4,,%,%,LOINC_db
LN,104247-2,Left ventricular Ejection fraction - lower limit by US.3D.A4C+Estimated,104247-2,,%,%,LOINC_db
LN,104251-4,Left ventricular Ejection fraction by US.2D.A2C+Estimated,104251-4,,%,%,LOINC_db
LN,104252-2,Left ventricular Ejection fraction by US.2D.A3C+Estimated,104252-2,,%,%,LOINC_db
LN,104253-0,Left ventricular Ejection fraction by US.2D.A4C Estimated,104253-0,,%,%,LOINC_db
LN,104254-8,Left ventricular Ejection fraction by US.3D.A2C+Estimated,104254-8,,%,%,LOINC_db
LN,104255-5,Left ventricular Ejection fraction by US.3D.A3C+Estimated,104255-5,,%,%,LOINC_db
LN,104256-3,Left ventricular Ejection fraction by US.3D.A4C+Estimated,104256-3,,%,%,LOINC_db
LN,104258-9,Left ventricular Ejection fraction - lower limit by US.2D.A2C+Estimated,104258-9,,%,%,LOINC_db
LN,104262-1,Diagnostic peripheral vascular disease study Heart,104262-1,,nan,,LOINC_db
LN,104867-7,PET+CT Heart metabolic,104867-7,,nan,,LOINC_db
LN,104868-5,PET+CT Heart perfusion W multiple studies at rest+W stress,104868-5,,nan,,LOINC_db
LN,104996-4,Aorta Coarctation.pressure gradient.mean by US,104996-4,,mm[Hg],,LOINC_db
LN,104997-2,Aorta Coarctation.pressure gradient.corrected by US,104997-2,,mm[Hg],,LOINC_db
LN,104998-0,Main pulmonary artery Peak pressure gradient by US,104998-0,,mm[Hg],,LOINC_db
LN,104999-8,Right pulmonary artery Peak pressure gradient by US,104999-8,,mm[Hg],,LOINC_db
LN,105000-4,Left pulmonary artery Peak pressure gradient by US,105000-4,,mm[Hg],,LOINC_db
LN,105001-2,Left main coronary artery Diameter by US,105001-2,,mm,mm,LOINC_db
